"Name","Ticker","Morningstar Category","US Category Group","Firm Name","Inception 
Date","Manager Name","Clean Share - Service Fee Arrangement","Annual Report 
Net Expense 
Ratio 
Year2017","Annual Report 
Net Expense 
Ratio 
Year2018","Annual Report 
Net Expense 
Ratio 
Year2019","Annual Report 
Net Expense 
Ratio","Net Assets 
Date","Net Assets 
- Share Class 
USD","Fund Size 
Date","Fund Size 
USD","Oldest 
Share Class","Management 
Fee","Prospectus 
Net Expense 
Ratio","Share Class Type","Index 
Fund","Alpha 
1 Yr (Mo-End) 
USD","Alpha 
3 Yr (Mo-End) 
USD","Alpha 
5 Yr (Mo-End) 
USD","Est Share Class 
Net Flow 
1 Yr (Mo-End) 
USD","Est Share Class 
Net Flow 
3 Yr (Mo-End) 
USD","Est Share Class 
Net Flow 
5 Yr (Mo-End) 
USD","Est Fund-Level 
Net Flow 
1 Yr (Mo-End) 
USD","Est Fund-Level 
Net Flow 
3 Yr (Mo-End) 
USD","Est Fund-Level 
Net Flow 
5 Yr (Mo-End) 
USD","Socially 
Conscious","Annual Report 
Expense Waiver 
Year2017","Annual Report 
Expense Waiver 
Year2018","Annual Report 
Expense Waiver 
Year2019","Annual Report 
Expense Waiver","Annual Report Expense Waiver Amount 
Year2017 
USD","Annual Report Expense Waiver Amount 
Year2018 
USD","Annual Report Expense Waiver Amount 
Year2019 
USD","Annual Report Expense Waiver Amount 
USD","Prospectus Expense Waiver","Prospectus Expense Waiver 
Expiration Date","Prospectus Expense Waiver Type","Management Fee 
1st Breakpoint","Management Fee 
2nd Breakpoint","Management Fee 
3rd Breakpoint","Management Fee 
4th Breakpoint","Management Fee 
5th Breakpoint","Management Fee 
6th Breakpoint","Management Fee 
7th Breakpoint","Management Fee 
8th Breakpoint","Management Fee 
9th Breakpoint","Management Fee 
Breakpoint Unit","Net Assets - share class (Monthly) 
2017-01 
USD","Net Assets - share class (Monthly) 
2017-02 
USD","Net Assets - share class (Monthly) 
2017-03 
USD","Net Assets - share class (Monthly) 
2017-04 
USD","Net Assets - share class (Monthly) 
2017-05 
USD","Net Assets - share class (Monthly) 
2017-06 
USD","Net Assets - share class (Monthly) 
2017-07 
USD","Net Assets - share class (Monthly) 
2017-08 
USD","Net Assets - share class (Monthly) 
2017-09 
USD","Net Assets - share class (Monthly) 
2017-10 
USD","Net Assets - share class (Monthly) 
2017-11 
USD","Net Assets - share class (Monthly) 
2017-12 
USD","Net Assets - share class (Monthly) 
2018-01 
USD","Net Assets - share class (Monthly) 
2018-02 
USD","Net Assets - share class (Monthly) 
2018-03 
USD","Net Assets - share class (Monthly) 
2018-04 
USD","Net Assets - share class (Monthly) 
2018-05 
USD","Net Assets - share class (Monthly) 
2018-06 
USD","Net Assets - share class (Monthly) 
2018-07 
USD","Net Assets - share class (Monthly) 
2018-08 
USD","Net Assets - share class (Monthly) 
2018-09 
USD","Net Assets - share class (Monthly) 
2018-10 
USD","Net Assets - share class (Monthly) 
2018-11 
USD","Net Assets - share class (Monthly) 
2018-12 
USD","Net Assets - share class (Monthly) 
2019-01 
USD","Net Assets - share class (Monthly) 
2019-02 
USD","Net Assets - share class (Monthly) 
2019-03 
USD","Net Assets - share class (Monthly) 
2019-04 
USD","Net Assets - share class (Monthly) 
2019-05 
USD","Net Assets - share class (Monthly) 
2019-06 
USD","Net Assets - share class (Monthly) 
2019-07 
USD","Net Assets - share class (Monthly) 
2019-08 
USD","Net Assets - share class (Monthly) 
2019-09 
USD","Net Assets - share class (Monthly) 
2019-10 
USD","Net Assets - share class (Monthly) 
2019-11 
USD","Net Assets - share class (Monthly) 
2019-12 
USD"
"Wells Fargo Dynamic Target 2060 C","WTDWX","US Fund Target-Date 2060+","Allocation","Wells Fargo Funds","2015-11-30","Christian L. Chan;Petros N. Bocray;Kandarp R. Acharya;","Bundled","1.30","1.29","1.35","1.42","2020-06-11","99,784.00","2020-06-11","5,194,130.00","No","0.15","1.43","C","No","-2.65","-1.22","","-1,201.68","-23,957.69","","-105,106.89","-1,289,373.14","","No","4.28","3.71","2.74","3.00","4,478","4,444","3,190","3,120","3.61","2020-06-30","Contractual","5,000,000,000.00","10,000,000,000.00","","","","","","","","Monetary/Dollars","106,556.00","109,256.00","110,167.00","111,643.00","113,388.00","114,237.00","116,587.00","116,549.00","118,924.00","120,905.00","123,362.00","119,868.00","126,399.00","121,205.00","119,571.00","120,074.00","121,393.00","121,013.00","124,436.00","126,378.00","126,637.00","117,595.00","119,985.00","91,205.00","97,522.00","100,249.00","100,676.00","102,910.00","98,264.00","103,513.00","103,394.00","101,647.00","103,478.00","105,513.00","107,455.00","108,800.00"
"Wells Fargo Dynamic Target 2060 R4","WTDZX","US Fund Target-Date 2060+","Allocation","Wells Fargo Funds","2015-11-30","Christian L. Chan;Petros N. Bocray;Kandarp R. Acharya;","Semi-bundled","0.24","0.25","0.30","0.36","2020-06-11","102,221.00","2020-06-11","5,194,130.00","No","0.15","0.37","Retirement","No","-1.63","-0.19","","-1,943.37","-26,767.42","","-105,106.89","-1,289,373.14","","No","4.28","3.71","2.74","3.03","4,526","4,521","3,249","3,222","3.64","2020-06-30","Contractual","5,000,000,000.00","10,000,000,000.00","","","","","","","","Monetary/Dollars","107,887.00","110,710.00","111,741.00","113,330.00","115,205.00","116,176.00","118,665.00","118,733.00","121,262.00","123,386.00","126,000.00","121,413.00","128,136.00","122,968.00","121,368.00","121,980.00","123,427.00","123,149.00","126,739.00","128,840.00","129,204.00","120,088.00","122,641.00","92,711.00","99,217.00","102,075.00","102,596.00","104,965.00","100,322.00","105,766.00","105,739.00","104,051.00","106,013.00","108,194.00","110,284.00","110,934.00"
"Wells Fargo Dynamic Target 2060 R6","WTSZX","US Fund Target-Date 2060+","Allocation","Wells Fargo Funds","2015-11-30","Christian L. Chan;Petros N. Bocray;Kandarp R. Acharya;","Unbundled","0.09","0.10","0.15","0.21","2020-06-11","4,734,872.00","2020-06-11","5,194,130.00","No","0.15","0.22","Retirement","No","-1.49","-0.03","","-75,910.56","-1,235,414.59","","-105,106.89","-1,289,373.14","","No","4.28","3.71","2.74","3.03","208,535","208,468","149,833","148,637","3.64","2020-06-30","Contractual","5,000,000,000.00","10,000,000,000.00","","","","","","","","Monetary/Dollars","4,971,704.00","5,102,435.00","5,150,667.00","5,224,524.00","5,311,649.00","5,357,119.00","5,472,548.00","5,476,412.00","5,593,774.00","5,692,461.00","5,813,797.00","5,595,328.00","5,905,927.00","5,668,391.00","5,595,422.00","5,624,291.00","5,691,773.00","5,679,661.00","5,845,987.00","5,943,764.00","5,961,198.00","5,541,305.00","5,659,905.00","4,272,419.00","4,572,826.00","4,705,071.00","4,729,649.00","4,839,463.00","4,626,002.00","4,877,625.00","4,877,017.00","4,799,830.00","4,891,884.00","4,994,927.00","5,092,941.00","5,117,793.00"
"Wells Fargo Dynamic Target Today A","WDYAX","US Fund Target-Date Retirement","Allocation","Wells Fargo Funds","2015-11-30","Christian L. Chan;Petros N. Bocray;Kandarp R. Acharya;","Bundled","0.51","0.48","0.59","0.66","2020-06-11","1,052,652.00","2020-06-11","7,043,529.00","Yes","0.15","0.68","A","No","2.33","1.36","","520,613.54","714,824.38","","1,053,914.78","523,462.60","","No","2.05","3.93","2.84","2.77","4,362","11,507","10,626","18,724","3.71","2020-06-30","Contractual","5,000,000,000.00","10,000,000,000.00","","","","","","","","Monetary/Dollars","127,017.00","128,962.00","233,099.00","235,140.00","237,683.00","244,107.00","247,595.00","248,348.00","262,215.00","263,877.00","266,682.00","277,843.00","330,789.00","335,699.00","392,154.00","389,030.00","384,072.00","358,531.00","363,556.00","367,017.00","366,777.00","379,047.00","383,244.00","360,600.00","406,981.00","399,995.00","415,634.00","457,561.00","455,879.00","499,104.00","547,085.00","557,275.00","631,790.00","732,077.00","1,051,496.00","1,062,769.00"
"Wells Fargo Dynamic Target Today C","WDYCX","US Fund Target-Date Retirement","Allocation","Wells Fargo Funds","2015-11-30","Christian L. Chan;Petros N. Bocray;Kandarp R. Acharya;","Bundled","1.26","1.24","1.34","1.41","2020-06-11","109,196.00","2020-06-11","7,043,529.00","No","0.15","1.43","C","No","1.57","0.63","","-6,806.37","-11,583.92","","1,053,914.78","523,462.60","","No","2.05","3.93","2.84","2.77","2,191","4,308","3,047","3,089","3.71","2020-06-30","Contractual","5,000,000,000.00","10,000,000,000.00","","","","","","","","Monetary/Dollars","103,728.00","105,255.00","105,591.00","106,455.00","107,538.00","107,889.00","109,203.00","109,465.00","110,149.00","110,778.00","111,887.00","109,734.00","112,005.00","109,215.00","108,859.00","108,789.00","109,312.00","109,268.00","110,731.00","111,616.00","111,481.00","107,653.00","108,773.00","97,079.00","101,227.00","102,415.00","103,746.00","110,458.00","109,498.00","112,483.00","112,708.00","113,623.00","114,064.00","114,907.00","115,702.00","115,303.00"
"Wells Fargo Dynamic Target Today R4","WDYYX","US Fund Target-Date Retirement","Allocation","Wells Fargo Funds","2015-11-30","Christian L. Chan;Petros N. Bocray;Kandarp R. Acharya;","Semi-bundled","0.22","0.22","0.31","0.36","2020-06-11","110,784.00","2020-06-11","7,043,529.00","No","0.15","0.37","Retirement","No","2.79","1.69","","-2,112.27","-14,740.43","","1,053,914.78","523,462.60","","No","2.05","3.93","2.84","2.87","2,227","4,381","3,099","3,122","3.74","2020-06-30","Contractual","5,000,000,000.00","10,000,000,000.00","","","","","","","","Monetary/Dollars","105,023.00","106,657.00","107,100.00","108,063.00","109,261.00","109,719.00","111,149.00","111,516.00","112,313.00","113,047.00","114,272.00","111,080.00","113,470.00","110,728.00","110,463.00","110,478.00","111,103.00","111,152.00","112,732.00","113,737.00","113,685.00","109,881.00","111,128.00","98,222.00","102,509.00","103,796.00","105,233.00","106,221.00","105,399.00","108,373.00","108,624.00","109,675.00","110,191.00","111,105.00","111,974.00","110,743.00"
"Wells Fargo Dynamic Target Today R6","WDYZX","US Fund Target-Date Retirement","Allocation","Wells Fargo Funds","2015-11-30","Christian L. Chan;Petros N. Bocray;Kandarp R. Acharya;","Unbundled","0.07","0.07","0.16","0.21","2020-06-11","5,770,897.00","2020-06-11","7,043,529.00","No","0.15","0.22","Retirement","No","2.83","1.81","","542,219.88","-53,211.90","","1,053,914.78","523,462.60","","No","2.05","3.93","2.84","2.80","102,655","202,037","142,913","148,911","3.74","2020-09-30","Contractual","5,000,000,000.00","10,000,000,000.00","","","","","","","","Monetary/Dollars","4,839,612.00","4,915,449.00","4,936,536.00","4,981,525.00","5,037,376.00","5,059,194.00","5,125,743.00","5,143,334.00","5,180,771.00","5,215,280.00","5,272,416.00","5,118,533.00","5,229,343.00","5,103,562.00","5,092,028.00","5,093,359.00","5,122,816.00","5,125,738.00","5,199,251.00","5,246,371.00","5,244,553.00","5,069,691.00","5,127,898.00","4,525,967.00","4,724,057.00","4,783,943.00","4,850,742.00","4,896,910.00","4,859,673.00","4,997,366.00","5,009,608.00","5,612,064.00","5,635,200.00","5,687,705.00","5,734,288.00","5,679,375.00"
"Wells Fargo Emerging Growth A","WEMAX","US Fund Small Growth","U.S. Equity","Wells Fargo Funds","2008-03-31","Thomas C. Ognar;Joseph M. Eberhardy;","Bundled","1.35","1.35","1.29","1.29","2020-06-11","143,099,368.00","2020-06-11","635,288,983.00","No","0.84","1.28","A","No","-0.22","2.87","-1.53","-15,926,067.79","-33,638,661.16","-78,685,519.15","-178,989,550.13","-341,125,848.38","-691,513,073.60","No","0.10","0.10","0.11","0.11","130,187","137,228","160,284","160,284","0.27","2020-09-30","Contractual","500,000,000.00","1,000,000,000.00","2,000,000,000.00","3,000,000,000.00","4,000,000,000.00","","","","","Monetary/Dollars","131,155,152.00","133,127,716.00","129,299,104.00","130,877,203.00","129,761,951.00","133,466,288.00","133,853,396.00","129,511,473.00","135,037,419.00","136,700,817.00","138,520,830.00","135,964,165.00","142,037,884.00","141,774,328.00","143,731,953.00","143,549,183.00","153,513,766.00","154,913,937.00","156,092,298.00","172,540,068.00","169,416,083.00","148,734,287.00","149,505,682.00","128,586,252.00","141,178,890.00","153,010,385.00","149,626,832.00","155,249,538.00","145,867,017.00","156,338,692.00","155,683,311.00","146,465,056.00","139,610,305.00","140,822,914.00","149,587,419.00","148,899,850.00"
"Wells Fargo Emerging Growth Admin","WFGDX","US Fund Small Growth","U.S. Equity","Wells Fargo Funds","2007-01-31","Thomas C. Ognar;Joseph M. Eberhardy;","Semi-bundled","1.20","1.20","1.20","1.20","2020-06-11","20,519,029.00","2020-06-11","635,288,983.00","Yes","0.84","1.20","Other","No","-0.11","2.98","-1.39","-5,167,161.70","-45,899,527.59","-152,570,399.46","-178,989,550.13","-341,125,848.38","-691,513,073.60","No","0.10","0.10","0.11","0.11","64,418","50,402","44,686","44,686","0.27","2020-09-30","Contractual","500,000,000.00","1,000,000,000.00","2,000,000,000.00","3,000,000,000.00","4,000,000,000.00","","","","","Monetary/Dollars","55,018,398.00","55,260,166.00","54,007,572.00","54,879,173.00","50,933,870.00","52,003,814.00","52,290,868.00","50,256,757.00","51,578,586.00","52,488,540.00","51,382,558.00","51,135,919.00","49,560,283.00","48,557,477.00","49,245,125.00","49,012,310.00","52,293,241.00","52,372,886.00","52,682,744.00","58,462,635.00","57,426,378.00","49,207,791.00","48,362,066.00","41,740,051.00","45,331,754.00","25,062,804.00","24,854,027.00","25,663,529.00","23,543,705.00","24,625,503.00","24,452,080.00","22,798,471.00","21,572,768.00","21,749,279.00","23,046,641.00","22,755,737.00"
"Wells Fargo Emerging Growth C","WEMCX","US Fund Small Growth","U.S. Equity","Wells Fargo Funds","2008-03-31","Thomas C. Ognar;Joseph M. Eberhardy;","Bundled","2.10","2.10","2.04","2.04","2020-06-11","1,534,520.00","2020-06-11","635,288,983.00","No","0.84","2.03","C","No","-0.89","2.14","-2.24","-353,691.63","-2,765,967.39","-4,432,387.06","-178,989,550.13","-341,125,848.38","-691,513,073.60","No","0.10","0.10","0.11","0.11","3,740","3,537","3,744","3,744","0.27","2020-09-30","Contractual","500,000,000.00","1,000,000,000.00","2,000,000,000.00","3,000,000,000.00","4,000,000,000.00","","","","","Monetary/Dollars","3,617,659.00","3,614,631.00","3,607,390.00","3,633,142.00","3,327,900.00","3,351,662.00","3,375,404.00","3,324,003.00","3,462,464.00","3,443,426.00","3,451,696.00","3,446,194.00","3,665,423.00","3,764,278.00","3,765,783.00","3,794,000.00","4,186,861.00","4,278,642.00","4,341,264.00","4,890,011.00","4,914,654.00","4,194,146.00","4,260,725.00","3,668,368.00","4,300,086.00","1,887,393.00","1,792,675.00","1,862,004.00","1,760,833.00","1,821,864.00","1,821,450.00","1,671,310.00","1,577,988.00","1,571,435.00","1,603,217.00","1,606,314.00"
